target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2
codec,*,MPLAYER,*,*,*,3600,42.22222222222223,1.3888888888888893,43.611111111111114,40.833333333333336
codec,*,MPV,*,*,*,3600,39.93055555555556,0.347222222222225,40.27777777777778,39.58333333333333
codec,*,VLC,*,*,*,3600,51.25,0.8333333333333357,52.083333333333336,50.416666666666664
player,*,*,sample.3gp,*,*,2700,79.25925925925927,0.37037037037037385,78.88888888888889,79.62962962962963
player,*,*,sample.flv,*,*,2700,82.31481481481481,0.09259259259259522,82.22222222222221,82.4074074074074
player,*,*,sample.mkv,*,*,2700,78.7037037037037,1.2962962962962976,77.4074074074074,80.0
player,*,*,sample.mp4,*,*,2700,78.88888888888889,2.5925925925925952,76.29629629629629,81.48148148148148
