target;browser;player;codec;platform;user;data_points;mean;stdev;fold_1;fold_2;fold_3;fold_4;fold_5;fold_6;fold_7;fold_8;fold_9;fold_10
player;CHROME;*;sample,mp4;macOS-13,0-arm64-arm-64bit;*;307;95,80645161290322;1,935483870967741;95,16129032258065;95,16129032258065;100,0;91,93548387096774;95,16129032258065;96,7741935483871;95,16129032258065;95,16129032258065;96,7741935483871;96,7741935483871
player;SAFARI;*;sample,mp4;macOS-13,0-arm64-arm-64bit;*;306;97,74193548387098;1,644845004384766;95,16129032258065;98,38709677419355;95,16129032258065;98,38709677419355;98,38709677419355;98,38709677419355;96,7741935483871;96,7741935483871;100,0;100,0
player;FIREFOX;*;sample,mp4;macOS-13,0-arm64-arm-64bit;*;306;81,93548387096774;4,773757608693142;82,25806451612904;79,03225806451613;88,70967741935483;74,19354838709677;85,48387096774194;75,80645161290323;83,87096774193549;77,41935483870968;87,09677419354838;85,48387096774194
player;CHROME;*;sample,flv;macOS-13,0-arm64-arm-64bit;*;309;96,45161290322582;1,880952224143645;96,7741935483871;95,16129032258065;96,7741935483871;98,38709677419355;98,38709677419355;96,7741935483871;95,16129032258065;91,93548387096774;96,7741935483871;98,38709677419355
player;SAFARI;*;sample,flv;macOS-13,0-arm64-arm-64bit;*;309;97,74193548387098;1,644845004384766;96,7741935483871;98,38709677419355;95,16129032258065;98,38709677419355;98,38709677419355;96,7741935483871;100,0;100,0;95,16129032258065;98,38709677419355
player;FIREFOX;*;sample,flv;macOS-13,0-arm64-arm-64bit;*;309;79,6774193548387;4,218289300200654;83,87096774193549;83,87096774193549;79,03225806451613;83,87096774193549;79,03225806451613;74,19354838709677;77,41935483870968;70,96774193548387;82,25806451612904;82,25806451612904
player;CHROME;*;sample,3gp;macOS-13,0-arm64-arm-64bit;*;309;94,03225806451613;1,9152164656512818;93,54838709677419;93,54838709677419;90,32258064516128;93,54838709677419;96,7741935483871;95,16129032258065;95,16129032258065;91,93548387096774;93,54838709677419;96,7741935483871
player;SAFARI;*;sample,3gp;macOS-13,0-arm64-arm-64bit;*;309;98,06451612903227;1,2069862537980431;96,7741935483871;98,38709677419355;98,38709677419355;96,7741935483871;98,38709677419355;98,38709677419355;96,7741935483871;100,0;96,7741935483871;100,0
player;FIREFOX;*;sample,3gp;macOS-13,0-arm64-arm-64bit;*;309;79,03225806451613;2,280989616730797;77,41935483870968;80,64516129032258;77,41935483870968;80,64516129032258;80,64516129032258;79,03225806451613;75,80645161290323;83,87096774193549;77,41935483870968;77,41935483870968
player;CHROME;*;sample,mkv;macOS-13,0-arm64-arm-64bit;*;309;96,12903225806451;1,4782502241793027;95,16129032258065;96,7741935483871;95,16129032258065;96,7741935483871;93,54838709677419;95,16129032258065;95,16129032258065;98,38709677419355;98,38709677419355;96,7741935483871
player;SAFARI;*;sample,mkv;macOS-13,0-arm64-arm-64bit;*;309;98,38709677419355;1,4426245016127646;98,38709677419355;98,38709677419355;96,7741935483871;100,0;100,0;100,0;96,7741935483871;96,7741935483871;100,0;96,7741935483871
player;FIREFOX;*;sample,mkv;macOS-13,0-arm64-arm-64bit;*;309;80,16129032258064;2,5038991445580687;82,25806451612904;82,25806451612904;82,25806451612904;80,64516129032258;75,80645161290323;77,41935483870968;77,41935483870968;80,64516129032258;79,03225806451613;83,87096774193549
player;CHROME;*;sample,mp4;Windows-10-10,0,19044-SP0;*;306;68,87096774193547;5,25370886287172;67,74193548387096;61,29032258064516;62,903225806451616;64,51612903225806;67,74193548387096;69,35483870967742;77,41935483870968;72,58064516129032;77,41935483870968;67,74193548387096
player;FIREFOX;*;sample,mp4;Windows-10-10,0,19044-SP0;*;6;-1;-1
player;EDGE;*;sample,mp4;Windows-10-10,0,19044-SP0;*;307;72,41935483870968;4,968684451854634;64,51612903225806;75,80645161290323;66,12903225806451;66,12903225806451;75,80645161290323;72,58064516129032;72,58064516129032;74,19354838709677;80,64516129032258;75,80645161290323
player;CHROME;*;sample,flv;Windows-10-10,0,19044-SP0;*;309;71,61290322580645;5,549887269059759;80,64516129032258;66,12903225806451;67,74193548387096;70,96774193548387;77,41935483870968;67,74193548387096;72,58064516129032;70,96774193548387;79,03225806451613;62,903225806451616
player;FIREFOX;*;sample,flv;Windows-10-10,0,19044-SP0;*;9;-1;-1
player;EDGE;*;sample,flv;Windows-10-10,0,19044-SP0;*;309;77,74193548387098;4,550559993440609;80,64516129032258;80,64516129032258;79,03225806451613;83,87096774193549;77,41935483870968;75,80645161290323;72,58064516129032;69,35483870967742;83,87096774193549;74,19354838709677
player;CHROME;*;sample,3gp;Windows-10-10,0,19044-SP0;*;309;52,09677419354839;4,73270991971652;50,0;58,06451612903226;50,0;54,83870967741935;48,38709677419355;48,38709677419355;50,0;61,29032258064516;54,83870967741935;45,16129032258064
player;FIREFOX;*;sample,3gp;Windows-10-10,0,19044-SP0;*;9;-1;-1
player;EDGE;*;sample,3gp;Windows-10-10,0,19044-SP0;*;309;75,16129032258065;4,029030966708643;69,35483870967742;69,35483870967742;72,58064516129032;80,64516129032258;75,80645161290323;79,03225806451613;77,41935483870968;74,19354838709677;72,58064516129032;80,64516129032258
player;CHROME;*;sample,mkv;Windows-10-10,0,19044-SP0;*;309;56,45161290322581;1,7668469596940886;58,06451612903226;58,06451612903226;54,83870967741935;58,06451612903226;54,83870967741935;54,83870967741935;53,2258064516129;58,06451612903226;56,451612903225815;58,06451612903226
player;FIREFOX;*;sample,mkv;Windows-10-10,0,19044-SP0;*;9;-1;-1
player;EDGE;*;sample,mkv;Windows-10-10,0,19044-SP0;*;309;77,25806451612902;4,171779727863731;80,64516129032258;74,19354838709677;83,87096774193549;83,87096774193549;75,80645161290323;70,96774193548387;75,80645161290323;72,58064516129032;77,41935483870968;77,41935483870968
player;CHROME;*;sample,mp4;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;94,66666666666666;2,560381915956206;98,33333333333333;91,66666666666666;98,33333333333333;91,66666666666666;93,33333333333333;96,66666666666667;93,33333333333333;95,0;91,66666666666666;96,66666666666667
player;FIREFOX;*;sample,mp4;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;73,83333333333333;5,727613425813197;75,0;73,33333333333333;76,66666666666667;86,66666666666667;66,66666666666666;71,66666666666667;68,33333333333333;80,0;70,0;70,0
player;EDGE;*;sample,mp4;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;90,16666666666666;2,291287847477921;90,0;88,33333333333333;88,33333333333333;91,66666666666666;93,33333333333333;90,0;88,33333333333333;88,33333333333333;88,33333333333333;95,0
player;CHROME;*;sample,flv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;92,33333333333333;4,898979485566357;93,33333333333333;96,66666666666667;100,0;88,33333333333333;88,33333333333333;96,66666666666667;83,33333333333334;96,66666666666667;90,0;90,0
player;FIREFOX;*;sample,flv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;86,0;2,7080128015453155;83,33333333333334;86,66666666666667;85,0;86,66666666666667;86,66666666666667;88,33333333333333;83,33333333333334;81,66666666666667;86,66666666666667;91,66666666666666
player;EDGE;*;sample,flv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;89,33333333333334;3,741657386773938;91,66666666666666;96,66666666666667;90,0;90,0;91,66666666666666;83,33333333333334;90,0;88,33333333333333;83,33333333333334;88,33333333333333
player;CHROME;*;sample,3gp;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;88,0;4,068851871911232;85,0;86,66666666666667;95,0;83,33333333333334;86,66666666666667;85,0;86,66666666666667;91,66666666666666;85,0;95,0
player;FIREFOX;*;sample,3gp;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;75,66666666666667;5,011098792790969;75,0;81,66666666666667;71,66666666666667;78,33333333333333;65,0;78,33333333333333;76,66666666666667;80,0;70,0;80,0
player;EDGE;*;sample,3gp;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;89,49999999999999;4,085883557377087;85,0;98,33333333333333;88,33333333333333;88,33333333333333;91,66666666666666;88,33333333333333;85,0;88,33333333333333;95,0;86,66666666666667
player;CHROME;*;sample,mkv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;91,83333333333333;3,6855573979159955;88,33333333333333;96,66666666666667;95,0;91,66666666666666;95,0;90,0;93,33333333333333;93,33333333333333;91,66666666666666;83,33333333333334
player;FIREFOX;*;sample,mkv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;81,16666666666666;5,629781918018181;73,33333333333333;90,0;78,33333333333333;86,66666666666667;71,66666666666667;78,33333333333333;86,66666666666667;83,33333333333334;80,0;83,33333333333334
player;EDGE;*;sample,mkv;Linux-5,15,0-56-generic-x86_64-with-glibc2,35;*;300;93,83333333333333;2,242270674512286;98,33333333333333;95,0;90,0;95,0;91,66666666666666;93,33333333333333;93,33333333333333;95,0;91,66666666666666;95,0
codec;CHROME;VLC;*;macOS-13,0-arm64-arm-64bit;*;412;66,74698795180723;5,783132530120482;72,28915662650603;67,46987951807229;65,06024096385542;75,90361445783132;68,67469879518072;63,85542168674698;71,08433734939759;57,831325301204814;56,62650602409639;68,67469879518072
